Length,Non-standard basepairs,F1 score
1441.0,22.0,0.9367850422859192
1441.0,24.0,0.9367850422859192
1442.0,24.0,0.938144326210022
1442.0,26.0,0.934486985206604
1442.0,24.0,0.9350961446762084
1442.0,24.0,0.9350961446762084
1443.0,27.0,0.9338993430137634
1443.0,23.0,0.9397141337394714
1443.0,21.0,0.9410349130630492
1443.0,28.0,0.9340593218803406
1443.0,28.0,0.9320388436317444
1443.0,22.0,0.9434650540351868
1444.0,23.0,0.941911280155182
1444.0,24.0,0.9386733770370485
1444.0,24.0,0.940587878227234
1444.0,24.0,0.9363745450973512
1444.0,24.0,0.9363745450973512
1445.0,27.0,0.9215922355651855
1445.0,26.0,0.9342347383499146
1445.0,26.0,0.9338147044181824
1445.0,26.0,0.930176079273224
1445.0,25.0,0.9303451776504515
1446.0,25.0,0.9343960881233216
1446.0,27.0,0.925301194190979
1446.0,25.0,0.9351907968521118
1446.0,21.0,0.933083176612854
1446.0,25.0,0.9345345497131348
1447.0,24.0,0.9379144310951232
1447.0,22.0,0.93764990568161
1447.0,23.0,0.9380637407302856
1447.0,26.0,0.9348752498626708
1447.0,25.0,0.9388511776924132
1447.0,25.0,0.9265944957733154
1448.0,29.0,0.9217910766601562
1448.0,26.0,0.9330877661705016
1448.0,30.0,0.9322757720947266
1448.0,31.0,0.92233008146286
1448.0,25.0,0.8810250163078308
1448.0,24.0,0.9435133337974548
1448.0,28.0,0.9302884340286256
1449.0,22.0,0.939339280128479
1449.0,24.0,0.8990476131439209
1449.0,25.0,0.925659477710724
1449.0,24.0,0.9339736104011536
1449.0,20.0,0.9385074377059937
1449.0,25.0,0.9339736104011536
1449.0,25.0,0.9339736104011536
1450.0,24.0,0.9403254985809326
1450.0,25.0,0.9390464425086976
