,Non-standard,Watson-Crick,Paired with N,Wobble
1099,22,358,0,62
1100,22,355,0,65
1101,23,354,0,65
1102,22,358,0,61
1103,23,363,0,57
1104,23,359,0,60
1105,24,359,0,59
1106,23,362,0,58
1107,22,358,0,61
1108,22,362,0,58
1109,23,361,0,58
1110,22,355,0,65
1111,22,358,0,62
1112,22,355,0,65
1113,23,357,0,62
1114,24,358,0,60
1115,24,360,0,58
1116,23,370,0,58
1117,24,367,0,61
1118,23,366,5,57
1119,23,369,0,60
1120,23,366,0,63
1121,23,365,0,64
1122,23,364,0,64
1123,23,368,0,60
1124,24,364,0,64
1125,23,371,0,58
1126,23,368,0,61
1127,24,367,5,56
1128,27,368,0,57
1129,23,366,0,63
1130,23,369,0,60
1131,23,366,0,63
1132,23,367,0,62
1133,24,365,0,62
1134,23,363,0,66
1135,23,369,0,60
1136,24,356,0,61
1137,24,355,0,62
1138,23,364,0,59
1139,25,358,0,63
1140,23,367,0,57
1141,23,363,0,60
1142,24,364,0,58
1143,22,364,0,57
1144,23,361,0,62
1145,23,361,0,63
1146,25,364,0,63
1147,30,356,0,58
1148,22,336,0,57
1149,33,357,0,60
1150,25,367,1,59
1151,24,365,0,62
1152,24,364,0,64
1153,24,366,0,62
1154,24,362,0,59
1155,25,358,0,64
1156,24,358,0,62
1157,24,362,0,60
1158,23,361,0,62
1159,25,359,0,58
1160,23,365,0,58
1161,23,361,0,62
1162,24,362,0,60
1163,23,366,0,57
1164,22,361,0,59
1165,23,356,0,63
1166,22,341,0,82
1167,27,374,0,66
1168,21,353,0,72
1169,21,354,0,72
1170,20,346,0,70
1171,18,341,0,67
1172,21,353,0,72
1173,26,379,0,62
1174,26,377,0,64
1175,27,336,0,66
1176,32,349,0,76
1177,16,284,0,51
1178,24,372,0,71
1179,29,369,0,74
1180,30,373,0,65
1181,29,369,0,74
1182,28,375,0,68
1183,27,374,0,68
1184,28,367,0,76
1185,27,355,0,64
1186,27,377,0,68
1187,21,344,0,59
1188,27,357,0,72
1189,27,365,0,74
1190,27,366,0,76
1191,27,374,0,66
1192,28,375,0,69
1193,27,378,0,67
1194,27,373,0,69
1195,27,376,0,69
1196,27,371,0,66
1197,26,365,0,67
1198,27,377,0,68
1199,27,369,0,73
1200,27,370,0,72
1201,28,369,0,72
1202,27,376,0,69
1203,18,335,0,58
1204,17,340,0,53
1205,24,368,0,62
1206,24,369,0,60
1207,5,92,0,14
1208,5,92,0,14
1209,5,92,0,14
1210,5,93,0,13
1211,5,93,0,13
1212,27,378,0,67
1213,25,374,0,67
1214,23,365,0,63
1215,22,350,0,80
1216,5,90,1,16
1217,5,93,0,14
1218,5,92,0,15
1219,23,366,0,76
1220,22,348,0,63
1221,5,90,0,17
1222,5,91,0,16
1223,24,377,0,65
1224,5,91,0,15
1225,5,91,0,16
1226,5,91,0,16
1227,5,89,0,18
1228,5,89,0,18
1229,5,92,0,15
1230,7,89,0,16
1231,21,353,0,74
1232,21,346,0,70
1233,22,325,0,68
1234,29,370,0,73
1235,30,368,0,74
1236,22,337,0,69
1237,20,262,0,53
1238,19,264,0,53
1239,29,361,0,72
1240,24,357,0,59
1241,24,361,0,80
1242,26,352,1,70
1243,23,375,0,65
1244,22,366,0,64
1245,29,366,0,67
1246,23,376,0,66
1247,23,373,0,67
1248,23,375,0,67
1249,24,367,0,63
1250,23,374,0,68
1251,28,372,0,65
1252,27,369,0,69
1253,21,350,0,63
1254,24,324,0,72
1255,23,351,1,63
1256,22,298,0,65
1257,22,301,0,65
1258,21,354,0,80
1259,27,340,0,72
1260,25,338,0,71
1261,19,336,0,76
1262,21,339,0,56
1263,21,323,0,71
1264,21,327,0,68
1265,24,331,0,74
1266,20,338,0,49
1267,18,276,0,63
1268,20,314,0,77
1269,25,328,0,64
1270,16,322,0,75
1271,23,333,0,73
1272,21,327,0,67
1273,19,335,0,60
1274,17,320,0,78
1275,20,334,0,77
1276,21,332,0,68
1277,3,54,0,7
1278,21,330,0,69
1279,23,327,0,70
1280,24,373,0,59
1281,22,342,0,68
1282,22,365,0,73
1283,22,367,0,71
1284,22,338,0,61
1285,24,378,0,59
1286,24,379,0,58
1287,24,348,1,55
1288,24,379,0,58
1289,24,379,0,58
1290,24,379,0,60
1291,24,378,0,59
1292,24,376,0,58
1293,18,336,0,51
1294,23,355,0,57
1295,21,344,0,53
1296,16,305,0,73
1297,14,266,6,51
1298,32,356,0,76
1299,22,351,0,71
1300,24,328,0,80
1301,24,352,0,70
1302,19,316,0,73
1303,24,303,0,60
1304,21,311,0,81
1305,9,109,0,20
1306,7,110,0,24
1307,5,112,0,20
1308,5,110,0,23
1309,8,110,0,20
1310,5,114,0,19
1311,5,112,0,23
1312,5,116,0,20
1313,5,114,0,22
1314,5,111,0,22
1315,6,112,0,22
1316,7,108,0,23
1317,6,112,0,19
1318,5,114,0,19
1319,6,107,0,26
1320,7,111,0,20
1321,6,114,0,26
1322,6,114,0,26
1323,6,113,0,26
1324,24,341,2,63
1325,24,366,0,64
1326,23,365,2,62
1327,23,372,0,57
1328,24,371,0,57
1329,25,368,2,57
1330,24,372,0,56
1331,23,368,0,61
1332,23,352,1,59
1333,19,268,0,49
1334,22,354,0,77
1335,23,334,4,67
1336,31,363,0,70
1337,26,350,0,66
1338,25,357,0,62
1339,27,374,0,65
1340,28,372,0,68
1341,28,369,0,71
1342,28,346,0,70
1343,28,354,0,64
1344,32,358,0,64
1345,29,372,0,67
1346,28,374,0,66
1347,27,362,0,66
1348,28,355,0,60
